dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
jores,jores_12042,jores_21372,2,-0.7973299601065569,0.7973299601065569,0.7399999999999999,0.00588235294117645,1.0179640718562872
jores,jores_12042,jores_31496,2,1.7865355906027502,1.7865355906027502,0.88,0.12352941176470589,1.2814371257485029
jores,jores_12042,jores_54073,2,0.6849672846026202,0.6849672846026202,0.05999999999999998,0.09999999999999998,1.3532934131736527
jores,jores_21372,jores_31496,2,2.583865550709307,2.583865550709307,0.14,0.11764705882352944,1.2335329341317367
jores,jores_21372,jores_54073,2,1.4822972447091771,1.4822972447091771,0.68,0.09411764705882353,1.2455089820359282
jores,jores_31496,jores_54073,2,-1.10156830600013,1.10156830600013,0.82,0.02352941176470591,1.3892215568862278
jores,jores_12048,jores_43089,2,-0.9789876920193601,0.9789876920193601,0.6699999999999999,0.10000000000000003,1.2694610778443114
jores,jores_12153,jores_2165,4,-2.507780194412457,2.507780194412457,0.7050000000000001,0.10000000000000003,1.1976047904191618
jores,jores_12400,jores_18607,2,0.8088665229900098,0.8088665229900098,0.33666666666666667,0.052941176470588214,1.005988023952096
jores,jores_12450,jores_3056,2,-0.4505769055052098,0.4505769055052098,0.2633333333333333,0.09411764705882353,1.1736526946107784
jores,jores_12469,jores_8790,2,0.58337886118181,0.58337886118181,0.5,0.03529411764705881,1.125748502994012
jores,jores_12633,jores_15869,2,0.13968831960229,0.13968831960229,0.009999999999999995,0.05882352941176472,1.2455089820359282
jores,jores_12633,jores_17655,2,0.7580476668794403,0.7580476668794403,0.8766666666666666,0.08235294117647057,1.1137724550898205
jores,jores_12633,jores_18925,2,0.007766219263519947,0.007766219263519947,0.8166666666666668,0.041176470588235314,1.125748502994012
jores,jores_12633,jores_3304,2,0.5726623757242499,0.5726623757242499,0.84,0.08823529411764708,1.0419161676646707
jores,jores_12633,jores_42812,2,2.17225389392096,2.17225389392096,0.3333333333333333,0.00588235294117645,1.1377245508982037
jores,jores_12633,jores_47839,2,0.6551722838169101,0.6551722838169101,0.02333333333333333,0.02352941176470591,1.341317365269461
jores,jores_15869,jores_17655,2,0.6183593472771503,0.6183593472771503,0.8866666666666667,0.1411764705882353,1.2095808383233535
jores,jores_15869,jores_18925,2,-0.13192210033877005,0.13192210033877005,0.8266666666666667,0.10000000000000003,1.2335329341317367
jores,jores_15869,jores_3304,2,0.43297405612195994,0.43297405612195994,0.85,0.1470588235294118,1.1137724550898205
